title,type,rating,read,last_read,synonyms,mal,anilist,mangaupdates
I'm in Love with the Villainess,Reading,10,49,2025-02-26,"我的首推是惡役大小姐,Wǒ de shǒutuī shì è yì dà xiǎojiě,我的推是坏人大小姐,내 최애는 악역영애,我的首推是恶役大小姐,WataOshi,მე მიყვარს ბოროტმოქმედი,Zakochałam się w Antagonistce.,Nae Choeaeneun Ag-yeog-yeong-ae,我推是反派大小姐,ทำไงดีเกมนี้นางร้ายน่ารัก,Tôi yêu nữ phản diện,Me apaixonei pela vilã,Я предпочитаю злодейку,我的推是壞人大小姐。,Watashi no Oshi wa Akuyaku Reijou.,私の推しは悪役令嬢。,I Favor the Villainess,Me enamoré de la villana,Mi Oshi Es Una Villa Noble,내 최애는 악역 영애,わたおし,私の推しは悪役令嬢,I'm in Love With the Villainess",https://myanimelist.net/manga/129361,https://anilist.co/manga/118695,https://www.mangaupdates.com/series/168833
Okiraku Ryoushu no Tanoshii Ryouchi Bouei,Reading,,6,2023-22-07,"El arte de gobernar relajadamente: la historia de un señor feudal que convirtió lo ordinario en lo extraordinario,Fun Territorial Defense of the Carefree Lord,Fun Territory Defense by the Optimistic Lord,Fun Territory Defense Of The Easy-going Lord ~the Nameless Village Is Made Into The Strongest Fortified City By Production Magic~,Okiraku Ryoushu no Tanoshii Ryouchi Bouei ~Seisan-kei Majutsu de Na mo na Kimura wo Saikyou no Jousai Toshi ni~,お気楽領主の楽しい領地防衛～生産系魔術で名もなき村を最強の城塞都市に～,Easygoing Territory Defense by the Optimistic Lord: Production Magic Turns a Nameless Village into the Strongest Fortified City,หนูน้อยเจ้าแคว้นกับแผนพิทักษ์เมือง,安闲领主的愉快领地防卫～以生产系魔术将无名小村打造成最强要塞都市～,무사태평 영주의 즐거운 영지 방어,お気楽領主の楽しい領地防衛,Okiraku Ryoushu no Tanoshii Ryouchi Bouei: Seisan-kei Majutsu de Na mo na Kimura wo Saikyou no Jousai Toshi ni,Easygoing Territory Defense by the Optimistic Lord,Fun Territorial Defense of the Carefree Lord,Fun Territory Defense Of The Easy-going Lord ~the Nameless Village Is Made Into The Strongest Fortified City By Production Magic~,El arte de gobernar relajadamente: la historia de un señor feudal que convirtió lo ordinario en lo extraordinario,Fun Territory Defense by the Optimistic Lord",https://myanimelist.net/manga/140520,https://anilist.co/manga/137942,https://www.mangaupdates.com/series/187259
"Saijo no Osewa Takane no Hana-darakena Meimon-kou de, Gakuin Ichi no Ojou-sama (Seikatsu Nouryoku Kaimu) wo Kagenagara Osewa suru Koto ni Narimashita",Reading,,,2024-42-10,"才女のお世話 高嶺の花だらけな名門校で、学院一のお嬢様（生活能力皆無）を陰ながらお世話することになりました,Làm Bảo Mẫu Cho Tiểu Thư,I Was Assigned to Take Care of the Most Talented Young Lady (With No Life Skills) at a Prestigious School Full of High Achievers,才女的男保姆,Das (fast) perfekte Fräulein und sein Butler,Taking Care Of A Talented Girl At A Prestigious School Full Of Flowers In Takamine, I Was To Take Care Of The School's Best Young Lady (Who Had No Living Skills) Behind The Scenes,Talented Male Nanny,Rich Girl Caretaker",https://myanimelist.net/manga/138374,https://anilist.co/manga/136312,https://www.mangaupdates.com/series/184625
Kill me now,Reading,,6,2024-55-10,"해구,Haegu,Me mate agora,Mate-me agora,Kill Me Now",,,https://www.mangaupdates.com/series/186946
Mayonaka Heart Tune,Reading,,,2024-38-10,"Полуночный мотив сердца,真夜中ハートチューン,Au Chœur de la Nuit,Tune In to the Midnight Heart,Sintonizando com o Coração da Meia Noite,Em busca da garota por trás da voz,Middernachtshart Tune",https://myanimelist.net/manga/162964,https://anilist.co/manga/169272,https://www.mangaupdates.com/series/wx691cc
Sensei! Bokutachi ga Sekai wo Horoboshimasu.,Reading,,,2024-45-26,"先生！ 僕たちが世界を滅ぼします。,Мы уничтожим весь мир, учитель!,Teacher! We Will Destroy the World.,先生！僕たちが世界を滅ぼします。",https://myanimelist.net/manga/167745,https://anilist.co/manga/171777,https://www.mangaupdates.com/series/ktxo778
"Kimi wa, Nina Janai",Reading,,,2023-23-09,"You Are Not NINA!,Kimi wa, Nina Ja nai,Kimi wa Nina Ja nai,きみは ニーナじゃない,きみは、ニーナじゃない,Kamu Bukan Nina,You're Not Nina,Kimi wa, Nina janai",https://myanimelist.net/manga/159997,https://anilist.co/manga/150040,https://www.mangaupdates.com/series/imfy3g4
My Friend of 3 Years From an Online Game is a Very Beautiful Woman,Reading,,,2024-49-26,"3年来のネトゲ友達がめちゃ美人だった,Teman 3 Tahunku dari Game Online adalah Wanita yang Sangat Cantik,Sannenrai no Netoge Tomodachi ga Mecha Bijin Datta",,,
"Hope You're Happy, Lemon",Reading,,36,2024-59-01,"Espero que seas feliz, zorra,渣女没渣报,クソ女に幸あれ,Kuso Onna ni Sachiare,Espero que seas Feliz, Zorra,Hạnh Phúc Nhé Con Đĩ!,Chúc Em Hạnh Phúc, Lemon!,Best Wishes, Bitch,Всего наилучшего, стерва,Надеюсь, ты счастлива, Лемон",https://myanimelist.net/manga/163630,https://anilist.co/manga/169922,https://www.mangaupdates.com/series/ofq1zxr
Isekai Ten'i Shita node Cheat o Ikashite Mahou Kenshi Yaru Koto ni Suru,Reading,,,2024-50-11,"Já que fui transferido para outro mundo, vou fazer bom uso de cheats e me tornar um espadachim mágico,異世界転移したのでチートを生かして魔法剣士やることにする,转移到异世界活用外挂成为魔法剑士,After Being Transferred to Another World I Became a Magical Swordsman Through Cheats,ถูกส่งมาต่างโลกทั้งที ขอพี่เป็นนักดาบเวทสุดโกงซะเลย,轉移到異世界活用外掛成為魔法劍士,이세계로 전이해서 치트를 살려 마법 검사가 된다,I Think I'll Cheat to Become a Spellsword in Another World,Isekai Ten'i Shita node Cheat wo Ikashite Mahou Kenshi Yaru Koto ni Suru,Since I Got Transferred to Another World, I Will Make Good Use of Cheats and Become a Magic Swordsman,Isekai Cheat Magic Swordsman,Isekai Ten'i Shitanode Cheat o Ikashite Mahō Kenshi Yaru Koto ni Suru,Isekai Ten'ishita Node Cheat wo Ikashite Mahou Kenshi Yaru Koto ni Suru,Isekai Teni Shita node Cheat wo Ika Shite Mahou Kenshi Yaru Koto ni Suru,Isekai Teni Shita node Cheat o Ika Shite Mahou Kenshi Yaru Koto ni Suru",https://myanimelist.net/manga/131333,https://anilist.co/manga/126148,https://www.mangaupdates.com/series/171556
